Tweet_count,Username,Text,Created At,Retweets,Likes,is_quote_status,quote_count,reply_count,view_count,hashtags,following_count,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,Sentimiento_Predicho,predicted_keyword
1,Madni Aghadi,the iphone 16 is coming soon it will be apples biggest release with ios 18 10 features you cant miss: https:tcoxompwfrwok,2024-08-22 14:29:36+00:00,16460,206642,False,5885,3385,73704386.0,[],236,False,True,False,False,True,False,False,False,False,False,False,Positive,
2,Mukul Sharma,iphone 16 has a 48mp main camera appleevent iphone16 https:tconfe4pkobux,2024-09-09 18:00:59+00:00,147,411,False,3,31,27062.0,"['AppleEvent', 'iPhone16']",331,False,False,False,False,False,False,False,False,False,False,False,Negative,iphone
3,Elvyn Wilzy,new product apple 16 iphone 16 iphone 16 pro iphone 16 pro max https:tco6ogf1rnqdl,2024-09-13 06:08:16+00:00,11,261,False,0,0,30148.0,[],462,False,False,False,False,False,False,False,False,False,False,False,Negative,iphone
4,kamran Hassan,apple just launched iphone 16 it is the apples biggest upgrade here are 15 features you cant miss: https:tcodyflkboro0,2024-09-10 06:59:36+00:00,3732,28181,False,400,451,6996055.0,[],993,False,False,False,False,True,False,False,False,False,False,False,Positive,iphone
5,Apple Hub,the iphone 16 and iphone 16 plus still feature a 60hz display does this matter to you https:tcogqqy5hrtti,2024-10-05 07:33:42+00:00,352,8833,False,101,762,718229.0,[],152,False,True,False,False,False,False,False,False,False,False,False,Positive,60
6,highsnobiety,apple debuts new iphone 16 with a dedicated camera button appleevent https:tcoueuvkaaijp,2024-09-09 17:48:48+00:00,220,1700,False,98,64,897404.0,['AppleEvent'],519,False,True,False,False,True,False,False,False,False,False,False,Negative,apple
7,Ghostek,protect your iphone 16 pro max in style with our cuttingedge metal magsafe case combining robust materials with a modern design this case is the ultimate accessory for your device ghostek iphone16promax 16promax appleiphone16promax appleiphone iphone16promaxcase apple https:tcolkmm5ohepl,2025-01-31 20:52:12+00:00,0,1,False,0,1,219.0,"['Ghostek', 'iPhone16ProMax', '16ProMax', 'AppleiPhone16ProMax', 'AppleiPhone', 'iPhone16ProMaxCase', 'Apple', '16ProMaxCase', 'iPhone16Pro', 'AppleiPhone16Pro']",0,False,False,False,False,False,False,False,False,False,False,True,Positive,iphone
8,𝗩 𝗠 𝗧 ッ,no iphone lover will pass without like this post iphone16 camera control apple intelligence a18 chipset 61 amp 67 for plus model customisable action button https:tcombjeqwuwrn,2024-09-10 02:21:48+00:00,13,179,False,3,97,186935.0,['iPhone16'],1922,False,False,False,False,True,False,False,False,False,False,False,Positive,iphone
9,شیخ,apple is planning to introduced iphone 16 in september 2024 with improved featuresthe rumors features are :larger 63 and 69 sizes for pro new capture button action button for all iphone 16 models faster aseries chip vertical camera buttons for standard models https:tcogrmexrnqvo,2024-04-08 10:47:39+00:00,96,202,False,0,77,5638.0,[],7046,False,True,False,False,False,False,False,False,False,False,False,Negative,iphone
10,Alamin,the iphone 16 is launching soon it will be apples biggest upgrade here are 7 features you cant believe https:tcowuzdifmtcs,2024-08-18 16:02:37+00:00,3160,32533,False,711,1063,24573082.0,[],1098,False,True,False,False,True,False,False,False,False,False,False,Positive,iphone
11,𝑴𝒂𝒌𝒂𝒗𝒆𝒍𝒊 ,used iphone 16 available 128gb2400000 battery100 exchange allowed https:tco1qdqm66xk1,2024-09-12 05:53:47+00:00,92,685,False,41,192,74995.0,[],851,False,False,False,False,False,False,False,False,False,False,False,Negative,1
12,Dexerto,iphone 16 owners are having trouble using the device on a flat surface due to the large camera bump https:tco5kwizmadvp,2024-09-18 20:00:00+00:00,349,20507,False,650,1391,2817281.0,[],891,False,False,False,True,False,False,False,False,False,False,False,Neutral,iphone
13,Tailosive Tech,iphone 16 will reportedly stick with 60hz and thats ok https:tcotk5jbtv7he,2023-11-19 16:51:07+00:00,32,1475,False,33,207,277879.0,[],118,False,False,False,False,False,False,False,False,False,False,False,Neutral,60
14,Arun Maini,iphone 16 is official apparently designed from the ground up for apple intelligence appleevent https:tcom1nir6obbi,2024-09-09 17:44:08+00:00,88,3636,False,8,63,161901.0,['AppleEvent'],442,False,False,False,False,False,False,False,False,False,False,False,Negative,iphone
15,Anthony,iphone 16 a17 pro or a18 61 inch 60hz oled display 48mp main amp 12mp ultrawide action button 3561mah battery 8gb ram expected price of 799 https:tcog8trkwyosa,2024-06-30 21:09:43+00:00,178,3013,False,74,260,309841.0,[],121,False,False,False,False,False,False,False,False,False,False,False,Negative,iphone
16,Zaryab Khan,samsung galaxy s25 ultra vs iphone 16 pro max the 5x night portrait game on samsung is strong https:tcod8ecsfmljr,2025-01-31 19:20:48+00:00,16,459,False,3,15,34165.0,[],1193,False,False,False,False,False,False,False,False,False,False,False,Positive,
17,Daniel,new video: s25 ultra vs iphone 16 pro max camera review https:tcolwh8x2a6ak s25ultra https:tcoz4ztbdwnih,2025-01-31 19:59:40+00:00,4,29,False,1,1,2517.0,['S25Ultra'],1014,False,False,False,False,False,False,False,False,False,False,False,Positive,
18,Sphére,satisfied customer available for: iphone 11 12 13 14 15 amp 16 iphone 11 12 13 14 15 amp 16 pro iphone 11 12 13 14 15 amp 16 pro max https:tconngtw9itkk,2025-01-31 19:24:04+00:00,0,1,True,0,0,670.0,[],929,False,False,False,False,False,False,False,False,False,False,False,Positive,iphone
19,Madni Aghadi,the iphone 16 series just dropped 10 key features you must see: https:tcodmmwded5cz,2024-09-10 14:12:27+00:00,1315,17956,False,165,171,2630792.0,[],236,False,True,False,False,False,False,False,False,False,False,False,Positive,iphone
20,Madni Aghadi,the iphone 16 is coming soon it will be apples biggest release with ios 18 10 features you cant miss: https:tcoxompwfrwok,2024-08-22 14:29:36+00:00,16460,206639,False,5885,3385,73704386.0,[],236,False,True,False,False,True,False,False,False,False,False,False,Positive,
21,highsnobiety,apple debuts new iphone 16 with a dedicated camera button appleevent https:tcoueuvkaaijp,2024-09-09 17:48:48+00:00,220,1700,False,98,64,897404.0,['AppleEvent'],519,False,True,False,False,True,False,False,False,False,False,False,Negative,apple
22,𝗩 𝗠 𝗧 ッ,no iphone lover will pass without like this post iphone16 camera control apple intelligence a18 chipset 61 amp 67 for plus model customisable action button https:tcombjeqwuwrn,2024-09-10 02:21:48+00:00,13,179,False,3,97,186935.0,['iPhone16'],1923,False,False,False,False,True,False,False,False,False,False,False,Positive,iphone
23,𝑴𝒂𝒌𝒂𝒗𝒆𝒍𝒊 ,used iphone 16 available 128gb2400000 battery100 exchange allowed https:tco1qdqm66xk1,2024-09-12 05:53:47+00:00,92,685,False,41,192,74994.0,[],851,False,False,False,False,False,False,False,False,False,False,False,Negative,1
24,شیخ,apple is planning to introduced iphone 16 in september 2024 with improved featuresthe rumors features are :larger 63 and 69 sizes for pro new capture button action button for all iphone 16 models faster aseries chip vertical camera buttons for standard models https:tcogrmexrnqvo,2024-04-08 10:47:39+00:00,96,202,False,0,77,5638.0,[],7046,False,True,False,False,False,False,False,False,False,False,False,Negative,iphone
